time;face_valid;bpm
31133;1;60
31166;1;59.6066
31200;1;59.5948
31233;1;60
31266;1;71.5279
31300;1;71.5137
31333;1;60
31366;1;71.5279
31400;1;59.5948
31433;1;60
31466;1;59.6066
31500;1;59.5948
31533;1;60
31566;1;59.6066
31600;1;59.5948
31633;1;60
31666;1;59.6066
31700;1;59.5948
31733;1;60
31766;1;59.6066
31800;1;59.5948
31833;1;60
31866;1;59.6066
31900;1;59.5948
31933;1;60
31966;1;59.6066
32000;1;59.5948
32033;1;60
32066;1;59.6066
32100;1;59.5948
32133;1;60
32166;1;59.6066
32200;1;59.5948
32233;1;60
32266;1;59.6066
32300;1;59.5948
32333;1;60
32366;1;59.6066
32400;1;59.5948
32433;1;60
32466;1;59.6066
32500;1;59.5948
32533;1;72
32566;1;71.5279
32600;1;71.5137
32633;1;72
32666;1;71.5279
32700;1;71.5137
32733;1;72
32766;1;71.5279
32800;1;71.5137
32833;1;72
32866;1;71.5279
32900;1;71.5137
32933;1;72
32966;1;71.5279
33000;1;71.5137
33033;1;72
33066;1;71.5279
33100;1;71.5137
33133;1;72
33166;1;71.5279
33200;1;71.5137
33233;1;72
33266;1;71.5279
33300;1;71.5137
33333;1;48
33366;1;47.6853
33400;1;47.6758
33433;1;48
33466;1;47.6853
33500;1;47.6758
33533;1;48
33566;1;47.6853
33600;1;47.6758
33633;1;48
33666;1;47.6853
33700;1;47.6758
33733;1;48
33766;1;47.6853
33800;1;47.6758
33833;1;48
33866;1;47.6853
33900;1;47.6758
33933;1;48
33966;1;47.6853
34000;1;47.6758
34033;1;84
34066;1;83.4492
34100;1;83.4327
34133;1;84
34166;1;83.4492
34200;1;83.4327
34233;1;84
34266;1;83.4492
34300;1;83.4327
34333;1;84
34366;1;83.4492
34400;1;83.4327
34433;1;84
34466;1;83.4492
34500;1;83.4327
34533;1;84
34566;1;83.4492
34600;1;83.4327
34633;1;84
34666;1;83.4492
34700;1;83.4327
34733;1;84
34766;1;83.4492
34800;1;83.4327
34833;1;36
34866;1;35.764
34900;1;35.7569
34933;1;36
34966;1;35.764
35000;1;35.7569
35033;1;36
35066;1;35.764
35100;1;35.7569
35133;1;36
35166;1;35.764
35200;1;35.7569
35233;1;60
35266;1;59.6066
35300;1;59.5948
35333;1;60
35366;1;59.6066
35400;1;59.5948
35433;1;60
35466;1;59.6066
35500;1;59.5948
35533;1;60
35566;1;59.6066
35600;1;59.5948
35633;1;60
35666;1;59.6066
35700;1;59.5948
35733;1;60
35766;1;59.6066
35800;1;59.5948
35833;1;60
35866;1;59.6066
35900;1;59.5948
35933;1;60
35966;1;59.6066
36000;1;59.5948
36033;1;60
36066;1;59.6066
36100;1;59.5948
36133;1;60
36166;1;59.6066
36200;1;59.5948
36233;1;60
36266;1;59.6066
36300;1;59.5948
36333;1;60
36366;1;59.6066
36400;1;59.5948
36433;1;60
36466;1;59.6066
36500;1;59.5948
36533;1;60
36566;1;59.6066
36600;1;59.5948
36633;1;60
36666;1;59.6066
36700;1;59.5948
36733;1;60
36766;1;59.6066
36800;1;59.5948
36833;1;60
36866;1;59.6066
36900;1;59.5948
36933;1;60
36966;1;59.6066
37000;1;59.5948
37033;1;60
37066;1;59.6066
37100;1;59.5948
37133;1;60
37166;1;59.6066
37200;1;59.5948
37233;1;60
37266;1;59.6066
37300;1;59.5948
37333;1;60
37366;1;59.6066
37400;1;59.5948
37433;1;60
37466;1;59.6066
37500;1;59.5948
37533;1;60
37566;1;59.6066
37600;1;59.5948
37633;1;60
37666;1;59.6066
37700;1;59.5948
37733;1;60
37766;1;59.6066
37800;1;59.5948
37833;1;60
37866;1;59.6066
37900;1;59.5948
37933;1;60
37966;1;59.6066
38000;1;59.5948
38033;1;60
38066;1;59.6066
38100;1;59.5948
38133;1;60
38166;1;59.6066
38200;1;59.5948
38233;1;60
38266;1;59.6066
38300;1;59.5948
38333;1;60
38366;1;59.6066
38400;1;59.5948
38433;1;60
38466;1;59.6066
38500;1;59.5948
38533;1;60
38566;1;59.6066
38600;1;59.5948
38633;1;60
38666;1;59.6066
38700;1;59.5948
38733;1;60
38766;1;59.6066
38800;1;59.5948
38833;1;60
38866;1;59.6066
38900;1;59.5948
38933;1;60
38966;1;59.6066
39000;1;59.5948
39033;1;60
39066;1;59.6066
39100;1;59.5948
39133;1;60
39166;1;59.6066
39200;1;59.5948
39233;1;60
39266;1;59.6066
39300;1;59.5948
39333;1;60
39366;1;59.6066
39400;1;59.5948
39433;1;60
39466;1;59.6066
39500;1;59.5948
39533;1;60
39566;1;59.6066
39600;1;59.5948
39633;1;60
39666;1;59.6066
39700;1;59.5948
39733;1;60
39766;1;59.6066
39800;1;59.5948
39833;1;60
39866;1;59.6066
39900;1;59.5948
39933;1;60
39966;1;59.6066
40000;1;59.5948
40033;1;60
40066;1;59.6066
40100;1;59.5948
40133;1;60
40166;1;59.6066
40200;1;59.5948
40233;1;60
40266;1;59.6066
40300;1;59.5948
40333;1;60
40366;1;59.6066
40400;1;59.5948
40433;1;60
40466;1;59.6066
40500;1;59.5948
40533;1;60
40566;1;59.6066
40600;1;59.5948
40633;1;60
40666;1;59.6066
40700;1;59.5948
40733;1;60
40766;1;59.6066
40800;1;59.5948
40833;1;60
40866;1;59.6066
40900;1;59.5948
40933;1;48
40966;1;47.6853
41000;1;47.6758
41033;1;48
41066;1;47.6853
41100;1;47.6758
41133;1;48
41166;1;47.6853
41200;1;47.6758
41233;1;48
41266;1;47.6853
41300;1;47.6758
41333;1;48
